"Que informação fornece o número de massa?","Protões + neutrões"
"Qual é a carga global de um átomo?","0 (neutra)"
"Explica por que razão os átomos são neutros.","Têm igual número de protões (+) e eletrões (−), anulando as cargas."
"Como se calcula o número de neutrões?","Número de massa − número atómico"
"Define isótopos.","Átomos do mesmo elemento com diferentes números de neutrões."
"Como se chama a percentagem de átomos de um isótopo numa amostra?","Abundância"
"Diferença entre número de massa e massa atómica relativa.","Número de massa: protões + neutrões num átomo. Massa atómica relativa: média ponderada dos isótopos."
"Nº de eletrões na 1ª camada.","2"
"Nº de eletrões na 2ª e 3ª camadas.","8"
"Configuração eletrónica do lítio.","2.1"
"Configuração eletrónica do carbono.","2.4"
"Configuração eletrónica do néon.","2.8"
"Configuração eletrónica do enxofre.","2.8.6"
"Configuração eletrónica do potássio.","2.8.8.1"
"Raio aproximado de um átomo.","≈ 0,1 nm"
"Tamanho do núcleo relativamente ao átomo.","≈ 1/10 000 do raio do átomo"
"15-10-2025", "Tabela Periódica"
"Porque se chama Tabela Periódica?","As propriedades repetem-se em intervalos regulares."
"Duas formas de ordenação dos elementos na Tabela Periódica moderna.","Por número atómico e por grupos de propriedades."
"Letra que representa os grupos.","A"
"O que indica o grupo sobre a estrutura eletrónica?","Nº de eletrões na camada de valência."
"Letra que representa os períodos.","B"
"O que indica o período sobre a estrutura eletrónica?","Nº de camadas eletrónicas."
"Como eram ordenados os elementos antes de Mendeleev?","Por massa atómica."
"Porque Mendeleev alterou a ordem baseada na massa?","Para agrupar elementos com propriedades semelhantes."
"Porque deixou espaços vazios?","Para elementos ainda não descobertos."
"Porque foi aceite a sua Tabela?","Os elementos descobertos encaixavam nas previsões."
"Região dos metais e não metais.","A – metais B – não metais"
"01-10-2025", "Estados da matéria"
"Três estados físicos da matéria.","Sólido, líquido e gasoso"
"Arranjo das partículas num sólido.","Organização regular"
"Arranjo num líquido.","Organização aleatória"
"Movimento das partículas num sólido.","Vibram sem mudar de posição."
"Movimento num líquido.","Deslizam umas sobre as outras."
"Movimento num gás.","Movimento aleatório constante."
"Estado mais denso.","Sólido"
"Limitações do modelo de partículas.","Não mostra forças. Todas as partículas são esferas. As esferas são sólidas."
"Mudança sólido → líquido.","Fusão"
"Líquido → gás.","Ebulição"
"Gás → líquido.","Condensação"
"Líquido → sólido.","Solidificação"
"01-12-2025", "Formação de iões"
"Átomo que ganha eletrões.","Carga negativa"
"Átomo que perde eletrões.","Carga positiva"
"Ião do Grupo 1.","1+"
"Ião do Grupo 2.","2+"
"Ião do Grupo 17.","1−"
"Ião do Grupo 16.","2−"
"Carga do ião metálico.","Positiva"
"Carga do ião não metálico.","Negativa"
"Porque há transferência de eletrões na ligação iónica?","Para completar a camada de valência."
"Substâncias que formam ligações iónicas.","Metais e não metais"
"O que acontece aos eletrões na ligação iónica?","São transferidos entre átomos."
"O que acontece quando o lítio reage com o cloro?","Um eletrão passa do lítio para o cloro; formam-se iões com camadas completas que se atraem eletrostaticamente."
"Explica em termos de eletrões o que ocorre quando o magnésio reage com o oxigénio para formar óxido de magnésio.","Dois eletrões são transferidos de um átomo de magnésio para um átomo de oxigénio. Os iões ficam com camadas de valência completas e atraem-se pela força eletrostática."
"Explica em termos de eletrões o que ocorre quando o magnésio reage com o cloro para formar cloreto de magnésio.","Um átomo de magnésio transfere um eletrão para um átomo de cloro e outro eletrão para um segundo átomo de cloro. Os iões ficam com camadas completas e atraem-se pela força eletrostática."
"Explica em termos de eletrões o que ocorre quando o lítio reage com o oxigénio para formar óxido de lítio.","Dois átomos de lítio transferem um eletrão cada para um átomo de oxigénio. Os iões ficam com camadas completas e atraem-se pela força eletrostática."
"Explica por que razão iões não metálicos não formam ligações iónicas entre si.","Os iões não metálicos têm carga negativa e, por isso, repelem-se."
"Indica duas propriedades das substâncias iónicas.","Altos pontos de fusão e ebulição. Conduzem eletricidade quando fundidas ou em solução."
"Explica por que as substâncias iónicas têm altos pontos de fusão.","Há fortes forças eletrostáticas entre iões de cargas opostas que exigem muita energia para quebrar."
"Define fundido.","Derretido"
"Explica por que as substâncias iónicas não conduzem eletricidade no estado sólido.","Os iões não estão livres para se mover, logo a carga não flui."
"Explica por que as substâncias iónicas conduzem eletricidade em solução.","Os iões estão livres para se mover e transportar carga."
"01-01-2026", "Substâncias Covalentes"
"Nomeia o tipo de substâncias que formam ligações covalentes.","Não metais"
"Descreve o que acontece aos eletrões na ligação covalente.","São partilhados entre átomos."
"Dá três exemplos de substâncias constituídas por moléculas pequenas.","Oxigénio, água e amoníaco"
"Descreve a estrutura das substâncias de moléculas pequenas.","Moléculas pequenas com ligações covalentes fortes internamente e forças intermoleculares fracas entre moléculas."
"Dá duas propriedades típicas destas substâncias.","Baixos pontos de fusão e ebulição. Não conduzem eletricidade."
"Explica por que as substâncias moleculares simples têm baixos pontos de fusão.","As forças intermoleculares fracas exigem pouca energia para serem rompidas."
"Estado típico à temperatura ambiente.","Líquido ou gasoso"
"Que forças são vencidas ao fundir ou ferver estas substâncias?","Forças intermoleculares"
"Relação entre tamanho molecular e forças intermoleculares.","Quanto maior a molécula, mais fortes as forças intermoleculares."
"Porque moléculas maiores têm pontos de fusão mais altos?","Têm forças intermoleculares mais fortes, exigindo mais energia."
"Quantas ligações tem cada átomo de carbono no diamante?","Quatro"
"Explica por que o diamante tem altos pontos de fusão e ebulição.","Tem uma estrutura covalente gigante com ligações covalentes muito fortes que exigem muita energia para serem quebradas."
"Explica por que o diamante não conduz eletricidade.","Não possui eletrões deslocalizados nem partículas carregadas livres, logo a carga não flui."
"Descreve a estrutura da grafite.","Cada átomo de carbono faz três ligações covalentes, formando camadas de anéis hexagonais."
"Explica como a grafite conduz eletricidade.","Cada carbono tem um eletrão deslocalizado que pode mover-se ao longo das camadas e transportar carga."
"Explica por que a grafite pode atuar como lubrificante.","Não há ligações covalentes entre as camadas, que podem deslizar umas sobre as outras."
"Descreve a estrutura dos fulerenos.","Moléculas ocas formadas por anéis de átomos de carbono."
"Descreve a estrutura dos nanotubos.","Anéis hexagonais de carbono organizados em cilindros ocos."
"Dá três utilizações dos nanotubos.","Nanotecnologia, eletrónica e materiais"
"01-12-2025", "Estrutura metálica"
"Descreve a estrutura dos metais.","Estrutura gigante com iões metálicos organizados e eletrões deslocalizados."
"Indica quatro propriedades típicas dos metais puros.","Altos pontos de fusão e ebulição, maleáveis, bons condutores elétricos e térmicos."
"Explica por que os metais têm altos pontos de fusão.","Fortes ligações metálicas entre iões positivos e eletrões deslocalizados."
"Explica por que os metais são maleáveis.","As camadas de iões metálicos podem deslizar sem quebrar a ligação metálica."
"Explica por que os metais conduzem eletricidade.","Os eletrões deslocalizados movem-se e transportam carga."
"Explica por que os metais conduzem calor.","Os eletrões deslocalizados transferem energia térmica."
"Descreve a estrutura de uma liga metálica.","Estrutura metálica com átomos de diferentes elementos misturados."
"15-11-2025", "Propriedades dos grupos 1, 17 e 18"
"Nome comum dos elementos do Grupo 1.","Metais alcalinos"
"O que têm em comum ao nível eletrónico?","Um eletrão na camada de valência."
"Produto da reação entre metal alcalino e oxigénio.","Óxido metálico"
"Produto da reação entre metal alcalino e cloro.","Cloreto metálico"
"Produtos da reação entre metal alcalino e água.","Hidróxido metálico e hidrogénio"
"Observações típicas ao adicionar metal alcalino à água.","Efervescência, movimento à superfície, diminuição de tamanho; potássio produz chama lilás."
"Porque se chamam metais alcalinos?","Reagem com água formando álcalis."
"Define tendência (trend).","Padrão de variação de propriedades."
"Tendência de reatividade nos metais alcalinos.","Aumenta ao descer o grupo."
"Porque o sódio é menos reativo que o potássio?","Tem menos camadas, maior atração nuclear e perde o eletrão mais dificilmente."
"Porque o potássio é mais reativo que o lítio?","Tem mais camadas, menor atração nuclear e perde o eletrão mais facilmente."
"Nome comum do Grupo 17.","Halogéneos"
"Porque os halogéneos são diatómicos?","Formam moléculas com dois átomos ligados."
"O que têm em comum ao nível eletrónico?","Sete eletrões na camada de valência."
"01-01-2026", "Ligações intermoleculares"
"Estado físico do flúor à temperatura ambiente.","Gasoso"
"Estado físico do cloro à temperatura ambiente.","Gasoso"
"Estado físico do bromo à temperatura ambiente.","Líquido"
"Estado físico do iodo à temperatura ambiente.","Sólido"
"Tendência dos pontos de fusão e ebulição nos halogéneos.","Aumentam ao descer o grupo."
"Porque aumentam os pontos de fusão nos halogéneos?","As moléculas são maiores e têm forças intermoleculares mais fortes."
"01-12-2025", "Propriedades dos grupos 1, 17 e 18"
"Tendência de reatividade nos halogéneos.","Diminui ao descer o grupo."
"Porque o flúor é mais reativo que o cloro?","Tem menos camadas e maior atração nuclear, ganhando eletrões mais facilmente."
"Porque o bromo é menos reativo que o cloro?","Tem mais camadas e menor atração nuclear, ganhando eletrões com mais dificuldade."
"Porque KBr não reage com I₂?","O iodo é menos reativo que o bromo."
"Porque KBr reage com cloro?","O cloro é mais reativo que o bromo."
"O que têm em comum os elementos do Grupo 18?","Camada de valência completa."
"Nome comum do Grupo 18.","Gases nobres"
"Define inerte.","Pouco reativo"
"Porque os gases nobres são inertes?","Têm camadas de valência completas."
"05-01-2026", "Química Quantitativa"
"Lei da conservação da massa.","A massa não se cria nem se destrói."
"Porque a massa pode parecer aumentar numa reação?","Um reagente gasoso é incorporado nos produtos."
"Porque a massa pode parecer diminuir numa reação?","Um produto gasoso escapa."
"Símbolos de estado.","(s) sólido (l) líquido (g) gasoso (aq) aquoso"
"15-01-2026", "Química quantitativa"
"Unidade de quantidade química.","Mol"
"Valor da constante de Avogadro.","6,02 × 10²³"
"Equação que liga mol, massa e Mᵣ.","n = m ÷ Mᵣ"
"Equação que liga concentração, massa e volume.","concentração = massa ÷ volume"
"Efeito de aumentar soluto na concentração.","Aumenta."
"Efeito de aumentar o volume de água na concentração.","Diminui."
"01-01-2026", "Hidrocarbonetos"
"Substâncias que constituem a maior parte do petróleo bruto.","Hidrocarbonetos."
"Define hidrocarboneto.","Composto formado apenas por carbono e hidrogénio."
"Primeiros quatro alcanos.","Metano, etano, propano e butano."
"Fórmula geral dos alcanos.","CₙH₂ₙ₊₂"
"Relação entre tamanho da molécula e ponto de ebulição nos alcanos.","Quanto maior a molécula, maior o ponto de ebulição."
"Produtos da combustão completa.","Dióxido de carbono e água."
"Define combustão.","Reação de um combustível com oxigénio."
"Define substância pura (química).","Substância constituída por um único elemento ou composto."
"01-10-2025", "Recursos Naturais"
"Como se formaram o petróleo e o gás natural?","Plâncton antigo morreu, foi coberto por sedimentos e sujeito a alta pressão e temperatura durante milhões de anos."
"Define recurso finito.","Recurso que se esgota."
"Porque o petróleo é um recurso finito?","Forma-se muito lentamente comparado com o seu consumo."
"Processo usado para separar o petróleo bruto.","Destilação fracionada."
"01-09-2025", "Análise química"
"Fases da cromatografia em papel.","Fase estacionária — papel; fase móvel — solvente."
"Teste do hidrogénio.","Palito aceso produz estalido."
"Teste do oxigénio.","Palito incandescente reacende."
"Teste do dióxido de carbono.","Água de cal fica turva."
"Gás principal da atmosfera primitiva.","Dióxido de carbono."
"Processo que remove CO₂ da atmosfera por algas.","Fotossíntese."
"Equação em palavras da fotossíntese.","Dióxido de carbono + água → oxigénio + glicose."
"Proporção atual de azoto na atmosfera.","Aproximadamente 80%."
"Proporção atual de oxigénio na atmosfera.","Aproximadamente 20%."
"Nome do aumento da temperatura média global.","Aquecimento global."
"Define água potável.","Água segura para beber."
"Define desenvolvimento sustentável.","Satisfazer as necessidades atuais sem comprometer as futuras gerações."
